SRA_run_accession,ZfPV,zpico,zpoxv,Any
ERR2723756,False,False,False,False
ERR1475633,False,False,False,False
SRR17224788,False,False,False,False
SRR1555588,False,False,False,False
SRR6652907,False,False,False,False
SRR2392485,False,False,False,False
SRR6049696,False,False,False,False
SRR9674253,False,False,False,False
SRR6215417,False,False,False,False
SRR11427437,False,False,False,False
SRR5113013,False,False,False,False
SRR12180097,False,False,False,False
SRR7268820,False,False,False,False
SRR6250139,False,False,False,False
SRR7419889,False,False,False,False
ERR959823,False,False,False,False
ERR698013,False,False,False,False
SRR18745497,False,False,False,False
SRR6908710,False,False,False,False
ERR853698,False,False,False,False
SRR870923,False,False,False,False
SRR11302754,False,False,False,False
SRR13450060,False,True,False,True
ERR1816556,False,False,False,False
SRR9198770,False,False,False,False
ERR667600,False,False,False,False
SRR10510892,False,False,False,False
ERR569539,False,False,False,False
ERR998170,False,False,False,False
ERR1888505,False,False,False,False
SRR10070754,False,False,False,False
ERR657607,False,False,False,False
SRR13796918,False,False,False,False
ERR755666,False,False,False,False
SRR17691938,False,False,False,False
ERR1427247,False,False,False,False
ERR667394,False,False,False,False
SRR11302590,False,False,False,False
ERR1252248,False,False,False,False
SRR19661792,False,False,False,False
SRR1062594,False,False,False,False
SRR8106262,False,False,False,False
ERR1216080,False,False,False,False
ERR1373486,False,False,False,False
SRR12661540,False,False,False,False
SRR16299351,False,False,False,False
ERR1821861,False,False,False,False
ERR960869,False,False,False,False
SRR11178130,False,False,False,False
SRR13234615,False,False,False,False
ERR962958,False,False,False,False
ERR959889,False,False,False,False
SRR13724933,False,False,False,False
SRR6654995,False,False,False,False
ERR1415207,False,False,False,False
SRR9849239,False,False,False,False
SRR5378559,False,False,False,False
ERR1374344,False,False,False,False
SRR870889,False,False,False,False
SRR5366721,False,False,True,True
SRR6469292,False,False,False,False
ERR7131126,False,False,False,False
ERR1416019,False,False,False,False
SRR13979043,False,False,False,False
SRR12903379,False,False,False,False
SRR11519047,False,False,False,False
SRR10550531,False,False,False,False
SRR11563220,False,False,False,False
SRR1062505,False,False,False,False
SRR10070839,False,False,False,False
