SRA_run_accession,ZfPV,zpico,zpoxv
SRR6654995,UND,UND,UND
ERR1415207,UND,UND,UND
SRR9849239,UND,UND,UND
SRR5378559,UND,UND,UND
ERR1374344,UND,UND,UND
SRR870889,UND,UND,UND
SRR5366721,UND,UND,Low
SRR6469292,UND,UND,UND
ERR7131126,UND,UND,UND
ERR1416019,UND,UND,UND
SRR13979043,UND,UND,UND
SRR12903379,UND,UND,UND
SRR11519047,UND,UND,UND
SRR10550531,UND,UND,UND
SRR11563220,UND,UND,UND
SRR1062505,UND,UND,UND
SRR10070839,UND,UND,UND
SRR13076843,UND,UND,UND
SRR14340359,UND,UND,UND
ERR1427045,UND,UND,UND
SRR18745504,UND,UND,UND
ERR1124748,UND,UND,UND
ERR958926,UND,UND,UND
ERR340668,UND,UND,UND
ERR1620486,UND,UND,UND
ERR999238,UND,UND,UND
SRR9854026,UND,UND,UND
ERR2154650,UND,UND,UND
ERR1730567,UND,UND,UND
SRR6654602,UND,UND,UND
ERR1889855,UND,UND,UND
SRR6469794,UND,UND,UND
ERR1475800,UND,UND,UND
SRR10956577,UND,UND,UND
ERR3489864,UND,UND,UND
ERR1124632,UND,UND,UND
SRR9849246,Medium,UND,UND
SRR10117596,UND,UND,UND
ERR1415248,UND,UND,UND
SRR5893045,UND,UND,UND
SRR5921144,Low,Low,UND
ERR718594,UND,UND,UND
SRR8485413,UND,UND,UND
SRR11302465,UND,UND,UND
ERR1757423,High,UND,UND
ERR960827,UND,UND,UND
SRR13115086,UND,UND,UND
SRR10040108,Medium,UND,UND
SRR14373548,UND,UND,UND
SRR14924012,UND,UND,UND
SRR11917472,UND,UND,UND
SRR11302758,UND,UND,UND
ERR853770,UND,UND,UND
ERR962909,UND,UND,UND
ERR1857576,UND,UND,UND
SRR11427442,UND,UND,UND
ERR7384917,UND,UND,UND
SRR5921159,UND,UND,Medium
SRR10321289,UND,UND,UND
SRR17547490,UND,UND,UND
ERR1099471,UND,UND,UND
ERR689814,UND,High,UND
ERR1396852,UND,UND,UND
SRR10070650,UND,UND,UND
ERR1416193,UND,UND,UND
SRR6888839,UND,UND,UND
ERR1108107,UND,UND,UND
SRR2567890,UND,UND,UND
SRR4242453,UND,UND,UND
SRR8135944,UND,UND,UND
SRR5931545,UND,UND,UND
SRR22561328,UND,UND,UND
ERR1374496,UND,UND,UND
SRR7662001,UND,UND,UND
ERR1108154,UND,UND,UND
SRR3228725,UND,UND,UND
ERR1215917,UND,UND,UND
SRR11302875,UND,UND,UND
ERR1730575,UND,UND,UND
SRR1021213,UND,UND,UND
SRR11302897,UND,UND,UND
SRR12874650,UND,UND,UND
SRR16292398,UND,Medium,UND
SRR749513,UND,UND,UND
ERR853520,UND,UND,UND
ERR1205264,UND,UND,UND
SRR9674266,UND,UND,UND
ERR1757441,UND,UND,UND
ERR999225,UND,UND,UND
ERR1373499,UND,UND,UND
SRR17547495,UND,UND,UND
ERR1858097,UND,UND,UND
ERR1415031,UND,UND,UND
SRR9198674,UND,UND,UND
SRR12874644,UND,UND,UND
SRR11303307,UND,UND,UND
SRR12974172,UND,UND,UND
ERR1692560,UND,UND,UND
ERR2722996,UND,UND,UND
SRR3381737,UND,UND,High
ERR1216167,UND,UND,UND
SRR1048059,UND,UND,UND
SRR17282629,UND,UND,UND
ERR2455364,Medium,UND,UND
ERR1124494,UND,UND,UND
SRR6655259,UND,UND,UND
SRR19571676,UND,UND,UND
ERR1889775,UND,UND,UND
ERR247040,UND,UND,UND
SRR5443713,UND,UND,UND
ERR2723826,UND,UND,UND
ERR2722969,UND,UND,UND
SRR6237737,UND,UND,UND
ERR958855,UND,UND,UND
ERR959352,UND,UND,UND
ERR573424,UND,UND,UND
SRR21675907,UND,UND,UND
ERR1475836,UND,UND,UND
SRR10136108,UND,UND,UND
SRR15049568,UND,UND,UND
SRR8383272,UND,UND,UND
SRR1062675,UND,UND,UND
ERR2723856,UND,UND,UND
SRR14270306,UND,UND,UND
ERR1621402,UND,UND,UND
ERR998353,UND,UND,UND
ERR1888846,UND,UND,UND
SRR13839964,UND,UND,UND
SRR6654709,UND,UND,UND
SRR2834970,UND,UND,High
ERR925756,UND,UND,UND
SRR5893081,UND,UND,UND
SRR3169301,UND,UND,Medium
SRR1062420,UND,UND,UND
SRR13693860,Low,UND,UND
SRR10070670,UND,UND,UND
SRR12464095,UND,UND,UND
ERR1204323,UND,UND,UND
ERR569540,UND,UND,UND
SRR8383290,UND,UND,UND
SRR22404869,UND,UND,UND
SRR6654572,UND,UND,UND
SRR7119826,UND,UND,UND
SRR10070861,UND,UND,UND
ERR689860,UND,Medium,UND
SRR9207179,UND,UND,UND
SRR11040630,UND,UND,UND
SRR14144775,UND,UND,UND
SRR5119936,UND,UND,UND
SRR11302618,UND,UND,UND
ERR2716245,UND,UND,UND
ERR1730753,UND,UND,UND
SRR959341,UND,UND,UND
ERR1620565,UND,UND,UND
ERR1442766,UND,UND,UND
SRR1555573,UND,UND,UND
SRR11540945,UND,UND,UND
SRR1062604,UND,UND,UND
ERR1888710,UND,UND,UND
SRR1555552,UND,UND,UND
SRR11577264,UND,UND,UND
SRR12313637,UND,UND,UND
SRR7613121,UND,UND,UND
SRR12661695,UND,UND,UND
ERR1475684,UND,UND,UND
SRR12971783,UND,UND,UND
SRR1565805,UND,UND,UND
SRR12623493,UND,UND,UND
SRR15048130,UND,UND,UND
SRR5120131,UND,UND,UND
ERR1122679,UND,UND,UND
SRR11303169,UND,UND,UND
ERR1408780,UND,UND,UND
SRR12661630,UND,UND,UND
ERR959307,UND,UND,UND
ERR1857926,UND,UND,UND
ERR1730553,UND,UND,UND
SRR14428584,UND,UND,UND
ERR1426767,UND,UND,UND
SRR13716311,UND,UND,UND
ERR1857623,UND,UND,UND
ERR1621470,UND,UND,UND
ERR1251963,UND,UND,UND
ERR1215988,UND,UND,UND
ERR1373595,UND,UND,UND
ERR1889385,UND,UND,UND
SRR516134,UND,UND,High
