SRA_run_accession,ZfPV,zpico,zpoxv,reads
SRR11728561,,,,35239268
ERR1205101,,,,1870162
ERR1662957,,,,12007125
SRR11303371,,,,671283
ERR1889304,,,,162472
SRR546820,,,,7818128
SRR6654770,,,,376608
ERR2723518,,,,154729
ERR659845,,,,3612643
SRR5810853,,,,118643
ERR411506,,,,3874835
SRR6289711,,,,4503494
SRR13646739,,,,55701447
SRR11303350,,,,220510
SRR9906826,,,,29290772
ERR1395827,,,,486731
SRR10862994,,,,12006551
ERR271383,,,,225855
SRR9875044,,,,4288963
SRR10735820,,,,9868226
ERR960703,,,,371
SRR12464088,,,,17991295
ERR999495,,,,29101
ERR1821962,,,,1897703
SRR5312199,,,,18777994
SRR6469033,,,,820658
ERR1396809,,,,7845
ERR1216379,,,,798447
SRR9164637,,,,14297423
SRR6655283,,,,147842
ERR1204607,,,,325710
SRR9313000,,,,11156378
ERR202521,,,,28049739
SRR10126014,,,,385731
SRR13938381,,,,8127874
SRR13181563,,,,18118370
SRR11427323,,,,29735853
SRR6652900,,2.0,,57069888
ERR959165,,,,168871
ERR1889467,,,,124178
SRR15483586,,,,10799085
ERR926024,,,,13418
SRR1871855,,,,206
SRR11303226,,,,580049
SRR17077512,,1.0,,30828975
ERR968038,,,,1399735
SRR850607,,41.0,,22994189
ERR1205361,,,,81268
ERR1888499,,,,86
ERR1252053,,,,1338142
ERR596712,,,,1301561
SRR6176667,,,,15721111
ERR1374833,,,,1087
ERR1373500,,,,870236
SRR9164640,,,,13472848
SRR1872336,,,,322114
ERR1396867,,,,2726484
SRR17239193,,,,19329671
SRR17400056,,,,19721938
ERR1407548,,,,15411
SRR8135924,,,,16946973
SRR13998264,,,,1799
ERR1757547,,,,572354
ERR959020,,,,28620
ERR1891649,,,,5882077
SRR10070657,,,,970909
ERR871540,,,,2125648
ERR1889121,,,,542557
SRR5809477,,,,14620618
ERR1374260,,,,1927
SRR6176704,,,,41375708
SRR10887461,,,,444004
ERR1888610,,,,420493
ERR667408,,,,735251
SRR7419891,,,,3256921
ERR1692509,,,,1759388
ERR1692449,,,,1999587
SRR11519052,,,,27143632
SRR12371369,,,,23467821
ERR1730795,,,,1235134
SRR11015124,,,,4866165
SRR8928811,,,,784640
SRR7419874,,,,3532094
SRR1872050,,,,263972
SRR15427699,,,,122151475
SRR14217590,,,,9629095
SRR11302706,,,,243702
SRR8106411,,,,571099
SRR3932171,,,,5727831
ERR1892042,,,,7261386
ERR1621506,,,,822105
SRR5381352,,,,12484300
SRR1872397,,,,458211
ERR1374715,,,,2144
ERR10034109,,,726.0,55108691
SRR16299529,,,,266703
SRR16299136,,,,543898
SRR12037491,,,,601787
ERR2146947,,,,1424506
ERR2723810,2.0,,,352832
SRR8377236,388.0,,,2070914
ERR1124784,,,,300954
ERR1415087,,,,6330
SRR6144814,,,,7801603
ERR2723175,,,,218955
SRR17720321,,,,162528875
SRR10586533,,,,57391363
SRR6654993,,,,280188
SRR8298689,,8.0,,24899034
DRR032736,,,,29738361
ERR1374465,,,,829
ERR962912,,,,15901
SRR11302591,,,,323184
ERR999506,,,,34235
SRR2353208,,6.0,,62121533
SRR6848348,,,,23942344
SRR16299561,,,,128247
ERR716725,,,,1839937
SRR11303073,,,,68456
SRR11856755,,,,8203399
SRR1062790,,,,3085675
SRR10887612,,,,248152
SRR16298999,,,,463045
SRR9849260,10.0,,70.0,22092250
SRR5366718,,,1.0,22165401
ERR1216082,,,,492669
SRR7662095,,,,190199
SRR21518680,,,,40515478
ERR1426881,,,,111586
SRR6652891,,,,26194227
ERR1821876,,,,1792464
ERR959438,,,,1
ERR959748,,,,141430
SRR1872599,,,,96
SRR18054180,,,,6412164
SRR16298949,,,,602693
ERR2723722,,,,191538
SRR2051102,,,,43306235
ERR1857747,,,,549863
ERR657523,,,,2273005
SRR11214395,,,,452873
ERR1888961,,,,1136748
ERR1216672,,,,381876
ERR1373549,,,,880149
SRR15606837,,,,35602657
SRR5810846,,,,507641
SRR11090027,,,,2941022
ERR2722976,,,,250782
ERR926041,,,,265943
SRR9662020,155.0,,,27767477
ERR1396936,,,,2673390
SRR11035188,,,,20466218
SRR9198798,,,,696198
SRR19897793,,106.0,248.0,20987973
SRR19641870,,,,21221278
SRR6268142,,,,2235434
SRR3231339,,,,7861
ERR1218417,,,,502525
ERR2723869,,,,234290
SRR12037428,,,,560542
ERR853666,,,,782962
SRR8244078,,,,16551074
SRR8784499,,,,1437197
ERR1426818,,,,745456
SRR11303126,,,,358430
ERR958893,,,,129445
ERR1122783,,,,747859
SRR6655094,,,,887774
ERR1426880,,,,54770
SRR15626596,,,,28134089
ERR960919,,,,203
SRR7299178,,,,14882115
SRR7119798,,,,13783871
SRR12876835,,118.0,65.0,21024349
SRR5855248,,,,27117529
SRR8383266,,,,1723739
SRR1062227,,,,3177040
SRR6469833,,,,828159
SRR14217657,,,,11416857
ERR1621507,,,,1080964
ERR1216127,,,,536028
SRR10836802,,,,6092338
ERR1730625,,,,657470
SRR372795,,,,33024036
ERR1757625,,,,850357
ERR2723057,,,,524969
ERR2723182,,,,333122
ERR958957,,,,50552
ERR1216741,,,,394414
SRR5921056,,3.0,1.0,47554027
ERR4132490,,,,30119577
SRR6176724,,,,28091448
SRR6654720,,,,368644
DRR189363,,16.0,,17619009
SRR10958345,102.0,,,32644138
SRR6654512,,,,760377
SRR6654377,,,,1244075
SRR7989636,,,,26368744
ERR960397,,,,4680
ERR959400,,,,21
ERR1888301,,,,598568
ERR4648691,,,,8800588
SRR5810849,,,,387897
SRR11302534,,,,274579
ERR1099441,,,,387187
SRR11090023,,,,2794761
ERR1415439,,,,900699
ERR959453,,,,17268
SRR12432921,,,,21598248
ERR1252234,,,,1404424
ERR1427321,,,,381541
SRR11909488,,,,41172196
SRR5337744,,633.0,,30423410
ERR959190,,,,46936
SRR13849960,,,,40463503
ERR1374489,,,,1758
SRR6469230,,,,1855869
ERR963193,,,,4464
ERR1889382,,,,1236575
SRR11090015,,1.0,,2717617
ERR697992,,,,3007853
SRR11302753,,,,325351
ERR1374536,,,,919
ERR998396,,,,455848
SRR10126148,,,,426442
SRR7947891,5.0,,,350138478
SRR12194974,,,,3490
SRR12194887,,,,2532
SRR12874652,,,,11266386
ERR959088,,,,117814
ERR1216063,,,,693622
ERR1107915,,,,619638
SRR7236655,,,,2874319
ERR716746,,,,1817701
ERR1204380,,,,325367
SRR2921972,,,,433
SRR6250193,,,,422165
ERR3838743,,,,11418411
ERR340710,,,,9609923
ERR411504,,,,3116847
SRR6469825,,,,1294100
ERR960036,,,,42526
ERR959306,,,,71876
SRR3381850,,,2858.0,9906182
SRR12661703,,,,12370146
SRR6416905,,4.0,,3940642
SRR7905390,,,,2237748
ERR871331,,,,1107640
SRR1062538,,,,3114951
ERR202509,,,,478185
SRR1062383,,,,3119369
SRR15910160,876.0,,,29506051
ERR959502,,,,22425
ERR1692621,,,,898087
ERR2723112,,,,387303
ERR573429,,,,2770790
SRR6654634,,,,180223
ERR1251934,,,,1041773
SRR1872107,,,,433040
SRR6469264,,,,1265200
ERR2723519,,,,405809
SRR10151895,,,,329924
SRR12999267,,,,28957409
SRR8135934,,,,29701717
ERR1621525,,,,863946
SRR7410428,1022.0,,,32143788
ERR1730636,,,,1913999
ERR854861,,,,1128895
ERR689836,,,,2050453
SRR6469850,,,,1146449
ERR1427170,,,,233434
ERR1408804,,,,181720
SRR8883723,,,,383457
ERR737723,,,,1966758
SRR1872066,,,,363300
SRR7947904,66.0,,,372250638
ERR1475596,,,,746905
SRR6020320,,,,1926645
SRR12661920,,,,14972315
ERR1757667,,,,1453138
ERR1706523,,,,1252440
ERR871344,,,,7941
SRR1062547,,,,3119302
SRR12194865,,,,1896
SRR10151876,,,,1290582
SRR18927189,,,,7646799
ERR853461,,,,871980
ERR960949,,,,7
SRR13519935,,,,75937361
DRR162498,,,,4458434
ERR1124644,,,,1232297
SRR13376246,,455.0,,19244402
ERR1426840,,,,1051453
ERR1415184,,,,14676
SRR4423756,,,,64927773
SRR9825127,,,,11535934
SRR6469234,,,,2826
SRR12661667,,,,11008947
SRR12037451,,,,680690
SRR7268802,,,,9340885
SRR5810824,,,,477018
SRR3381843,,,2157.0,8636390
SRR18352682,,,,6291451
SRR15236532,2.0,,,27751324
SRR1265741,,,,77500
SRR12661864,,,,3259849
SRR19638111,,,,28812280
SRR1062235,,,,3183788
SRR5893167,,,,9518600
SRR8106503,,,,992655
SRR15458884,,,,20365317
SRR870782,,,,2266206
ERR1205251,,,,642185
SRR12876837,,32.0,46.0,22407321
SRR13074839,,,,522133
SRR3228727,,,,35130615
ERR2723325,,,,331321
ERR960530,,,,1066
ERR1427277,,,,202681
SRR6250238,,,,999254
SRR12786078,,,,22577348
SRR11033795,,,,24304213
ERR1889252,,,,148069
SRR10887615,,,,325301
SRR17221761,,,,88171767
ERR1205227,,,,6524
SRR8928799,,,,604675
ERR1888449,,,,1072657
SRR5952029,,,,41886248
SRR13780565,,,,23581234
ERR1415431,,,,615982
ERR1124514,,,,263292
ERR1124678,,,,101342
SRR2834950,,,10.0,3725666
SRR9947425,,28.0,,20381763
ERR960786,,,,485
ERR1415229,,,,942373
SRR10126309,,,,179475
ERR960547,,,,39210
SRR13724989,,,,4814265
ERR1252011,,,,1207181
SRR1872662,,,,91576
ERR1252254,,,,1335890
SRR11585436,,,,35781071
SRR14428569,,,,41949507
SRR11519055,,,,30321041
ERR1374158,,,,288
ERR1373737,,,,455945
SRR12194971,,,,3964
ERR2154640,,,,390656
ERR1215904,,,,347783
SRR13076832,,,,9827070
ERR1204354,,,,340185
ERR1857737,,,,2902376
SRR13039584,,,,22779597
SRR12443355,,,,8558371
ERR1427121,,,,530119
SRR18054181,,,,5521001
SRR9906845,,,,54151561
SRR11302455,,,,396253
ERR1857653,,,,2776126
SRR16195447,,,,3671845
SRR13115087,,,,6369447
SRR10899682,,,,56652611
SRR7801956,,,,3934228
SRR7892031,,,,2138057
ERR1889691,,,,33887
ERR2723038,,,,410741
SRR9207160,,,,8333156
SRR13115057,,,,1672362
ERR960326,,,,2077
ERR1407638,,,,664776
ERR411518,,,,5511022
ERR1125090,,,,967560
ERR871328,,,,1165099
SRR10070577,,,,359294
SRR2567887,,,,4060479
ERR959671,,,,33341
SRR20746134,,338.0,,63968586
ERR1889269,,,,897914
ERR1891683,,,,5383882
SRR6654633,,,,404039
ERR657573,,,,3192883
SRR15204078,,,,13063906
ERR999509,,,,65129
SRR6908629,,,,88799
SRR18267559,,,,19824948
ERR667409,,,,1073776
SRR3113940,,,,132421366
SRR6020350,,,,713
SRR13602451,,,,25661849
ERR273892,,,,7020271
ERR960723,,,,1
ERR1427138,,,,158313
ERR780136,,,,2061497
ERR1099508,,,,436080
SRR17247914,,,,22122646
SRR6469028,,,,631282
ERR959032,,,,54356
SRR7268841,,,,9794222
ERR1108762,,,,559239
SRR12037507,,,,28450959
ERR1069107,,,,627504
SRR3169297,,2.0,,31881708
ERR2154694,,,,748582
SRR5921136,,,,46830971
ERR1442820,,,,1543533
SRR13234680,,,,16649593
SRR10017651,,,,41442961
SRR13160662,2.0,,,22829320
SRR6655227,,,,426740
ERR340716,,,,5872901
SRR7942611,6.0,2.0,,46530740
ERR7131164,,,,10571100
DRR084196,,5.0,,33506834
SRR5163103,,,,24447118
SRR12436809,,,,10485595
SRR14340364,,,,13942006
SRR6811816,,,,17387582
SRR1062516,,,,3119827
ERR1204602,,,,481643
ERR1889431,,,,12756
SRR8441455,,,,17300102
ERR1757539,,,,903925
SRR5044690,,,,7563338
SRR15362158,,,,72454186
ERR1889453,,,,219198
ERR999195,,,,9217
SRR16299310,,,,280464
SRR19978691,,,,18833951
SRR8106662,,,,913860
SRR16298993,,,,487415
ERR1416048,,,,1211087
SRR9728748,,,,47355169
ERR657561,,,,3371466
ERR1205351,,,,5673
SRR2168748,,,,117005901
ERR2723615,,,,47087
ERR1475732,,,,1247685
SRR6654979,,,,449207
ERR759370,,,,2066495
ERR1857767,,,,1106140
ERR411498,,,,3952197
SRR18516707,,,,1422398
SRR10151885,,,,1288912
SRR7268987,,,,7590693
SRR6655306,,,,292673
SRR16299548,,,,465896
SRR7942621,,,,271749
ERR968049,,,,7903
SRR12492981,,,,31704153
SRR5251442,,,,9221092
SRR2776877,,3.0,,14252143
ERR1730565,,,,1349432
SRR13234617,,,,26108963
SRR13594976,,,,1132704
SRR16183162,,,,39470875
SRR8106508,,,,916347
SRR6655258,,,,457799
SRR11140720,,,,35686997
SRR6468887,,,,61445
SRR15691869,,,,0
SRR7881079,,,,13162879
SRR3038044,,,,11010
SRR10070590,,,,1184553
SRR8298675,,,2.0,31196697
ERR1442869,,,,1158516
SRR5113019,,,,6508019
ERR3489858,,,,10812967
ERR1475820,,,,1189343
ERR1069105,,,,1266309
SRR11303229,,,,304611
ERR1205338,,,,7332
ERR1730642,,,,723828
SRR10126210,,,,360994
SRR8377218,16.0,,,2232995
ERR1757581,,,,1379569
ERR1414973,,,,566622
ERR960678,,,,0
ERR023144,,4.0,,9594253
SRR22805228,,,,24556199
SRR8883783,,,,1763743
ERR1857877,,,,2579140
SRR8787677,,,,458246
ERR1108791,,,,1558914
ERR4648686,,,,9733830
ERR1858043,,,,2336839
ERR1407699,,,,745642
ERR1442661,,,,1206597
SRR11874794,,,,6238162
ERR1415213,,,,680608
SRR5893138,,,,18866493
ERR716712,,,,1624973
SRR12194836,,,,3952
SRR6654664,,,,397763
SRR14163086,,,,25673271
SRR16299055,,,,767194
ERR1442847,,,,1572021
SRR3536537,,,,1
SRR3207401,,,,7462135
ERR2723870,,,,529020
SRR7942637,,,,26832793
SRR1146564,,,,3344754
SRR12194954,,,,1428
SRR2027908,,,,16186694
ERR960553,,,,11498
ERR960096,,,,30825
SRR8788704,,,,16680704
ERR1374645,,,,590
ERR1124478,,614.0,,1270770
ERR2154657,,,,1107019
SRR6268183,,,,89301
SRR13075147,,,25.0,8273659
ERR959897,,,,6891
SRR11427340,,,,31700052
SRR8883773,,,,367399
SRR8991396,,,,5630200
ERR1821509,,,,1901359
SRR870732,,,,3503483
SRR13015583,,,,17056360
ERR949686,,,,17089
SRR10070731,,,,1207097
SRR19667655,,,,19585646
SRR10312413,,,,16914257
SRR18063807,,136.0,,59513157
ERR1757550,,,,721873
SRR6888832,,,,142
SRR23036883,,,10.0,20932932
SRR12194847,,,,2360
SRR13724926,,,,469604
ERR4973559,,,,13134819
SRR6250241,,,,1232397
ERR1888689,,,,739432
SRR12774363,,,,139057119
ERR960445,,,,24
SRR527834,,4.0,,12140903
ERR959176,,,,57102
SRR11590415,,,,33390755
SRR1872808,,,,288497
SRR6654580,,,,663400
ERR1888384,,,,385041
SRR6469312,,,,1255048
SRR11178123,,,,24978715
SRR1871856,,,,128354
SRR9674309,,,,16141216
ERR573425,,,,2377158
SRR14217675,,,,30001323
SRR6655169,,,,1092566
ERR1373553,,,,897349
SRR22404863,,,,16618838
SRR6176621,,,,41240
ERR1426904,,,,209283
ERR1215779,,,,3195
SRR9728751,,,,49767341
ERR738246,,,,2143033
SRR8383275,,,,1218868
ERR2146974,,,,3325590
ERR853498,,,,853682
SRR12874643,,,,11841010
SRR10151993,,,,295296
SRR22805225,2.0,,,24226589
SRR12194832,,,,2887
SRR21831648,,,,21940255
ERR738281,,,,2563397
ERR1692443,,,,1868836
ERR7384909,,,,39783112
DRR162494,,,,4086832
ERR959446,,,,18858
ERR1373590,,,,902180
ERR2723418,,,,1215045
SRR9662018,,22.0,,29112292
SRR5893102,,,,27281662
SRR6469451,,,,1374666
SRR10004224,,,,18326274
SRR6267981,,,,47317983
SRR9674325,,,,85851511
ERR3266374,,,,7503986
SRR10151652,,,,2069972
SRR8787577,,,,24606723
ERR2146981,,,,15512586
SRR13979110,,,,6765
SRR6654494,,,,10294
ERR232360,,,,197183
SRR959369,,,,3627285
SRR6654440,,,,352845
SRR16905285,,,,13547156
ERR697978,,,,2378250
SRR12125412,,,,14970717
ERR1889818,,,,495683
SRR11801336,,,,28959950
ERR1216520,,,,975585
ERR202590,,,,1851441
SRR7410424,,,,17539405
SRR14679408,,,,34541176
ERR1427004,,,,239131
SRR16299072,,,,590207
SRR11090055,,,,3120594
ERR1216936,,,,16915810
SRR7008291,14.0,,,4911360
SRR6655082,,,,1465005
SRR10058764,,,,43769934
ERR1124801,,,,475737
ERR1475766,,,,554690
SRR9850649,,,,1360458
SRR870816,,,,750813
SRR11303291,,,,455627
ERR202511,,,,825343
SRR5810862,,,,1218547
SRR6469800,,,,1599905
ERR1373766,,,,478466
ERR1374651,,,,386
ERR1415033,,,,15870
ERR1407649,,,,114058
SRR2087765,,,,12846459
SRR9067638,,1044.0,,52357197
SRR11033311,,,,17320329
ERR999188,,,,568132
ERR1442846,,,,1377345
SRR15204082,,,,13751744
ERR830301,,,,1924865
SRR8106602,,,,921029
ERR1218479,,,,286783
SRR8305639,,,,194097
SRR6655068,,,,1260757
SRR7882021,,,,44541386
ERR1108216,,,,661257
ERR2723028,,,,518187
ERR1416029,,,,731972
ERR780082,6.0,,,1773717
ERR959561,,,,22373
ERR949691,,,,13840
SRR1872558,,,,138
SRR11302342,,,,412071
SRR5921151,,,,41003526
ERR959346,,,,3821
SRR13075140,,,,11848441
ERR1107889,,,,602596
ERR1889560,,,,738
SRR11302773,,,,300747
SRR7699164,,,,34706141
SRR10753246,,,,1166691
SRR7789609,,,,440130
SRR9849232,,,2.0,25405647
ERR1216589,,,,297082
SRR6655303,,,,288707
SRR10887472,,,,351321
ERR1888730,,,,1465714
ERR1216518,,,,510102
SRR14270307,,,,6240309
SRR9674278,,,,13171958
SRR11542100,,,,32552475
ERR949684,,,,1357464
SRR15048113,,,,39331041
SRR10887434,,,,858921
ERR7132851,,,,18023478
SRR15831091,,4.0,,20832941
ERR4910722,,,,23271682
SRR8526630,,,,13216477
ERR2723812,,,,518608
SRR10887578,,,,18373
SRR8914613,,,,24726691
ERR1757549,4.0,,,1511122
SRR10887582,,,,300483
ERR2723969,,,,466032
DRR162482,,2.0,,5425497
ERR1203487,,,,771590
SRR12070806,,,,12066813
ERR659995,,,,1206265
SRR6469540,,,,1391551
ERR596637,,,,757794
ERR1215679,,,,48040
ERR1442877,,,,1367419
SRR8526617,18.0,,,14415700
SRR6507306,,,,17563880
SRR11206280,,,,8917647
SRR10126168,,,,296841
ERR1124557,,,,2975
ERR1216935,,,,12552663
SRR15036085,1.0,,,22802346
SRR19671831,,,,13663161
SRR3381806,,,,12477578
SRR11801333,,,,28960967
SRR17312072,,3.0,,72023101
SRR10902870,,,,1219012
SRR8787602,,,,1769063
SRR10070671,,,,873732
ERR271395,,,,178576
SRR1872185,,,,307
SRR15204087,,,,8275783
SRR9728703,,,,47629573
ERR2723294,,,,1377897
ERR755662,,,,1395514
SRR6250058,,,,1138725
SRR11590417,,,,35823088
ERR1215787,,,,350655
SRR11302721,,,,461064
ERR1888933,,,,132473
SRR6469244,,,,1477382
SRR5125774,,40.0,,14820866
ERR596598,,,,2228282
SRR14217706,,,,26872264
ERR1821884,,,,1715332
SRR6469139,,,,1087151
SRR11267493,,1285.0,,20025053
SRR9825125,,,,1339278
ERR4648679,,,,8669618
SRR7662076,,,,126116
SRR8106708,,,,902664
SRR5382038,,,,11436208
ERR1891684,,,,6076423
SRR17085062,,,,38341253
SRR1062537,,,,3119146
ERR525361,,,,1399125
ERR755675,,,,2025024
SRR6655345,,,,391066
SRR10126197,,,,237133
ERR689829,,,,2240396
SRR6908749,,,,445275
SRR7268892,,,,9652863
ERR1218416,,,,497115
ERR4648677,,,,8467246
ERR1218454,,,,300303
ERR1621595,,,,816327
SRR11267521,,,,19144164
ERR1204531,,,,504202
SRR6250112,,,,1076081
SRR5921052,,,,55517562
SRR6469577,,,,1304431
ERR960216,,,,44982
ERR1373557,,,,848622
SRR1872636,,,,291566
SRR14567473,,,,29155005
SRR8293711,,16.0,,22801827
ERR1442842,,,,1273592
SRR6268105,,,,4034902
ERR1374568,,,,486
SRR592708,,,,8159347
ERR1889490,,,,160008
ERR1099479,,,,507750
SRR8883746,,,,162031
SRR6176722,,,,29067266
ERR1216622,,,,634094
SRR1062662,,,,3463014
SRR1872824,,,,331429
SRR6469252,,,,1376710
SRR18192304,,,,7390853
ERR1396935,,,,3953674
SRR14559683,,,,20189122
SRR13998184,,,,53470339
SRR3159079,,,,9816187
SRR17499133,,,,23169398
SRR13332321,,,,21838366
ERR853750,,,,986808
ERR2723217,,,,700
ERR1889048,,,,1183210
ERR1204604,,,,379486
ERR3838739,,,,6728342
SRR6289653,,,,14489071
ERR1396899,,,,2924820
SRR7468697,,,,8335198
SRR1551782,,,,11365118
ERR1821487,,,,1824322
SRR12661702,,,,11343102
ERR830336,,,,1875053
ERR780298,,,,2847590
SRR7661983,,,,646871
ERR667578,,,,1465311
SRR8787663,,,,1197514
ERR1442851,,,,1221188
SRR17530165,,2.0,,45051199
ERR1374504,,,,1000
SRR11214440,,,,18651352
ERR1108219,,,,1298251
ERR780098,,,,1936424
ERR1374396,,,,640
ERR1374140,,,,790
SRR5127986,,,,21442555
ERR959300,,,,49237
SRR17714685,,,,19106690
SRR15362156,,,,82105871
ERR963131,,,,130883
SRR10151624,,,,745431
SRR580556,,,,3353435
SRR11186453,,,,36207866
ERR657578,,,,3029834
SRR3393532,,,,18227196
ERR1396901,,,,456055
SRR3381812,,,1039.0,13059256
ERR1108803,,,,1595074
ERR1216539,,,,614639
SRR6468938,,,,907312
DRR162551,,,,4024532
SRR8383299,,,,5039422
ERR1108510,,,,1197749
ERR1821715,,,,1825244
ERR1888282,,,,232934
SRR5961761,,,,12
SRR12578020,,,,19420570
SRR11700441,,,,5371425
SRR11309039,,,,28684030
ERR1692546,,,,1119537
SRR13181591,,,,18307774
SRR11186439,,,,1132618
SRR8787588,,,,4873342
SRR11033823,,,,35967098
SRR5810769,,,,2270759
ERR1415102,,,,857249
SRR3231261,,,,722302
ERR667590,,,,1640564
ERR1431984,,,,1179487
SRR7789570,3.0,,,2524513
ERR1107949,,,,857984
ERR1124830,,,,63045
ERR2723690,,,,490964
SRR1555579,,,,1944724
ERR3489880,,,,346302
SRR5115718,,3.0,,55260652
ERR959549,,,,26033
SRR10070617,,,,341039
SRR10312411,,,,15966515
SRR11540939,,,,202779390
SRR6654349,,,,956337
ERR7132853,,,,23901857
SRR8883807,,,,9529484
ERR517980,,,,2734672
SRR8663325,,,,112670
SRR15321085,,,,45153834
SRR8298710,,40.0,,25477828
SRR14139659,,,,31104068
SRR6469202,,,,1415990
ERR998197,,,,735984
SRR16339850,,,,25730750
ERR1888108,,,,17099
SRR8106615,,,,830407
ERR1888370,,,,877463
SRR5961766,,,,20
ERR1416190,,,,1077468
SRR13938382,,,,4423627
ERR1858137,,,,3090896
SRR3381741,,,2163.0,12598029
SRR9872828,,,,16781193
SRR6469186,,,,1138495
SRR3159082,,,,9384225
SRR6250187,,,,655617
ERR1621355,,,,883568
SRR12654015,,,,41345444
SRR1062324,,,,3525198
SRR12898821,,,,42954037
SRR6237740,,,,17265880
SRR12194936,,,,3150
ERR854796,,,,1517981
ERR1204495,,,,357439
SRR1062744,,,,3105750
SRR22561324,,,,19553765
ERR1540894,,,,2989415
SRR11874783,,,,7247273
SRR11302938,,,,171496
ERR1620483,,,,890222
ERR716829,,,,1615324
SRR13074822,,,,485633
ERR1821690,,,,1959890
SRR2422941,,,,19047018
ERR1889703,,,,581758
ERR853708,,,,853552
SRR12338624,,,,21180097
SRR11302916,,,,424093
SRR12436770,,,,22277786
ERR1124908,,,,860106
SRR1872746,,,,424868
ERR1442561,,,,1422725
SRR658538,,,,32200282
SRR748489,,,,11068366
SRR10312402,,,,16457566
SRR11243184,,,,354173
ERR960090,,,,44997
ERR1821705,,,,1838381
SRR8706246,,,,9519983
SRR5817915,,,,12156806
SRR11858755,,,,24012228
ERR1294279,,,6.0,21228493
ERR1857770,,,,2562854
SRR8135914,,,,26602104
SRR1062520,,,,3114872
SRR11858749,,,,30311730
SRR1035978,,,,24267384
SRR6176648,,,,52411
SRR17221754,,,,108837249
ERR1216038,,,,765603
SRR15204081,,,,8597921
SRR6250273,,,,1387360
SRR16298940,,,,710909
ERR780093,,,,2082493
ERR1203518,,,,717242
ERR1216313,,,,1028316
ERR1374659,,,,403
ERR1124804,,,,115951
ERR667382,,,,714288
SRR17313509,,,,39748014
SRR17642807,,,,46715776
SRR13697047,,,,8145419
SRR21177743,,,,18513808
ERR1888205,,,,541131
ERR1816535,,,,2035892
SRR12443350,,,,8806224
SRR11302983,,,,117788
SRR12492985,,,,26633518
ERR1821545,,,,2158556
SRR10887584,,,,552718
ERR1374330,,,,542
ERR959276,,,,32304
SRR11519038,,,,31314626
ERR959195,,,,2909
ERR1757420,,,,1764144
SRR10973995,,,,3358890
ERR959101,,,,41487
SRR18687250,,,,14643389
SRR13979048,,,,26099252
ERR1692463,,,,1798015
ERR1124861,,,,121469
SRR9198861,,,,758539
SRR7268899,,,,10037686
SRR12672462,,,,23611335
SRR12661647,,,,12608964
SRR17400063,,,,21081835
SRR6655235,,,,611495
ERR968122,,,,16639
ERR960375,,,,28145
ERR596707,,,,1325881
ERR1410197,,,,760481
SRR8945520,,,,23019364
ERR1099534,,,,534301
ERR1415407,,,,571815
ERR1889292,,,,1004024
ERR303223,,,,1040267
ERR871478,,,,10028
ERR1757480,,,,1578315
ERR2146945,,,,2669652
SRR16298955,,,,778402
ERR1757454,,,,735749
ERR2723561,,,,5314
SRR11302565,,,,151437
ERR960494,,,,750
SRR1797772,,6.0,,7280704
SRR9944759,2.0,,,59748869
ERR1373623,,,,857575
ERR1252247,,,,1411907
ERR1374667,,,,874
ERR962963,,,,220266
SRR9159932,,,,31683018
SRR17183782,,,,4503543
ERR1414996,,,,661677
ERR1892026,,,,5955929
SRR16299123,,,,649340
SRR7268935,,,,9246863
ERR1107964,,,,738137
SRR13005704,,,,23027345
SRR2179998,,,,13585956
ERR1408783,,,,1364866
SRR6495324,,,,61322606
ERR1888779,,,,8203
ERR1426950,,,,41565
ERR1442625,,,,1362295
ERR2723337,,,,432855
SRR1872929,,,,377116
SRR13938387,,,,3811103
ERR1620526,,,,1082444
SRR7789556,,,,2641946
ERR853492,,,,896027
SRR8298676,,10.0,,32242580
SRR10974063,,,,3079764
SRR10277634,,,,22727854
ERR1889622,,,,513137
SRR6250022,,,,221471
SRR7299177,,,,14040206
ERR273842,,,,11023961
SRR5818007,,,,10297407
ERR1414994,,,,561144
SRR14710782,,,,19736858
SRR5805900,,,,3302827
ERR958879,,,,186755
SRR8298703,12.0,8.0,,28568712
ERR1410219,,,,2208038
SRR7905368,,,,1638889
SRR22825763,,,,158725993
SRR6468972,,,,967452
SRR6654360,,,,541406
SRR5320545,,,,6566750
ERR1416145,,,,976392
SRR6655280,,,,752870
SRR5921061,,2.0,19.0,53103877
SRR3083715,,,1.0,22141044
SRR8888286,,,,40273367
SRR15048132,,,,39000340
ERR1858062,,,,2188217
ERR689820,,,,2238093
ERR2723285,,,,222139
ERR984500,,,,717650
SRR10152018,,,,354101
SRR22207165,,,,19583688
ERR1858039,,,,2368520
SRR3166957,,,,1105247
SRR13074835,,,,368897
ERR960744,,,,2709
ERR1821863,,,,1910058
ERR1396917,,,,3269294
SRR11427377,,,,36138794
SRR5443674,,,,11503736
ERR3301006,,,,28760111
SRR2835257,,,,7183272
SRR1555531,,,,2177008
ERR871368,,,,12304
ERR958907,,,,9700
SRR10887442,,,,646720
ERR958997,,,,171
SRR5883563,,,,1405636
SRR11302864,,,,228523
SRR3381854,,,86.0,9902855
ERR1431975,,,,1244501
ERR1821709,,,,2260889
SRR1062572,,,,3473188
SRR17077500,,11.0,,30768750
SRR5818013,,,,11035845
ERR960862,,,,4460
ERR1374529,,,,1037
