SRA_run_accession,count
SRR5593161,51647
ERR1252158,15952
SRR5418454,6782
ERR657609,112502
SRR6469138,105172
SRR6469241,103986
SRR7410361,125106
SRR16195473,48840
ERR999236,66686
SRR1062419,26244
ERR1821747,22706
SRR7268965,199482
ERR1415022,50936
SRR15600934,208208
SRR2138295,108272
SRR10887539,507700
ERR1397063,1198
ERR1124442,104368
SRR5810816,2064
SRR17400047,183010
ERR960902,222
ERR1889681,82214
ERR1442813,17124
SRR1062390,112774
SRR16768268,288622
SRR19641869,918228
ERR1203503,305876
ERR1124963,271988
ERR871374,172
ERR590799,23690
ERR1889381,233716
SRR17968063,422660
SRR10887549,67570
SRR8928894,33072
SRR8587726,711718
SRR14703449,38736
ERR1124619,441614
SRR12436833,120948
ERR998395,34000
ERR5236194,217676
SRR13559188,201266
SRR10511885,153721
SRR14999370,205598
ERR1124435,235536
ERR1396858,6554
SRR2177447,73004
ERR1475604,20962
SRR1062534,34669
SRR11302314,141
ERR1889506,1922
SRR8106697,22770
SRR4342171,50481
ERR960979,254
ERR960242,21472
SRR10126286,23989
ERR1889328,346504
ERR659965,65698
SRR1872743,13362
ERR1124429,298834
ERR1205097,482
SRR7801964,233175
ERR1397052,27470
SRR18296197,178606
SRR5810907,662
ERR1889243,143842
SRR8811919,60341
SRR1062275,19353
SRR2750989,325986
SRR8552557,59865
SRR11519036,118329
ERR1620527,14
ERR1396933,180756
ERR1122660,311320
ERR3489850,406194
SRR6469600,131782
ERR1475563,36786
ERR1475736,30302
SRR10070748,274270
ERR1124810,572382
ERR1730657,18032
ERR657589,103268
ERR716867,230478
ERR1889646,110912
ERR853543,43688
ERR1108787,216294
ERR1410213,106956
SRR6268098,59140
ERR1125030,299262
SRR13234677,60342
ERR960936,116
ERR2723158,51086
SRR10974128,64016
ERR999211,45100
ERR1858056,27202
ERR1218321,179220
SRR22805214,1224380
SRR5378566,299876
ERR960787,850
SRR3985378,704480
SRR6655057,9135
SRR14930244,374680
SRR16647482,437036
SRR6655005,12037
SRR11302869,825
ERR737690,92364
ERR659908,102848
ERR1125063,591046
SRR2751043,318662
SRR11523563,264614
SRR13234633,192324
SRR10828014,892574
ERR667598,41800
SRR12964279,231340
SRR6654532,21460
SRR6654253,17915
SRR5809466,103986
ERR1099482,124830
ERR2723445,125408
SRR10126281,16863
ERR716926,112600
SRR5382061,74358
SRR17247904,266256
ERR1125087,490712
ERR1821616,21382
ERR1757605,31476
SRR18508139,455420
SRR10887513,23984
SRR1872440,28
ERR517850,75236
ERR1475566,57350
SRR11303198,225
SRR2087767,161686
ERR998118,128
SRR10126153,7527
SRR14679404,215426
SRR6654378,67979
ERR1414894,55472
ERR1124808,591186
ERR1289925,146732
SRR21228024,44508
ERR1122757,173684
SRR17530165,190242
SRR18296202,185812
SRR8787745,101351
SRR13269764,203240
ERR959692,2
SRR22129111,524032
SRR22525916,502106
SRR6327871,374458
SRR5443702,58195
SRR11590407,127342
ERR959929,4556
ERR1251910,13606
ERR1215539,211104
SRR12180096,294746
ERR958861,5968
SRR11427291,367416
ERR1397058,2624
SRR22747841,226602
SRR16299552,20431
SRR17219891,7920
SRR9849266,114708
SRR1062251,413170
SRR13181563,341268
ERR1621365,46064
SRR7535436,29125
ERR871472,230130
SRR6655330,4359
SRR6039672,391307
SRR7662058,49552
ERR1892039,86530
SRR10753254,7332
SRR10151977,66498
SRR7235514,704184
SRR6654282,46191
SRR15564531,229774
SRR6654850,4992
ERR2154782,31304
ERR1416124,58602
ERR853779,47100
ERR1442714,18816
ERR1757480,42396
SRR3381757,376134
ERR1857642,25854
ERR1415008,378
ERR755700,222086
SRR11302402,115
ERR582889,228
SRR3290612,314793
SRR11427366,482784
ERR1426774,179960
SRR22270155,162038
SRR12661762,35757
SRR20958394,294686
SRR12446292,708258
SRR11801327,139599
SRR22420219,281528
ERR3446731,57188
SRR6132687,134186
SRR5342777,724478
ERR659931,99696
SRR6176610,1913292
ERR1215765,108798
SRR17720623,173490
SRR5817915,2110873
SRR8137054,188536
ERR1431975,44450
SRR8706242,1364814
ERR718593,66456
SRR9198845,9526
SRR10974007,236068
ERR2723809,90568
SRR5921048,321660
SRR393004,54381
SRR17007612,381404
ERR1124813,357598
ERR716778,157384
SRR9198902,9640
SRR5127963,780021
ERR2146903,470544
ERR959408,1406
SRR1062356,116012
SRR3420388,1495674
ERR1122728,198460
ERR1888491,314770
ERR1621520,57208
SRR7410385,183974
SRR5485633,150314
ERR1416083,33140
SRR7240616,3624122
ERR1124878,482278
SRR11427255,441240
SRR10126317,9335
ERR958882,59552
ERR1857608,30854
SRR2020638,371773
ERR590772,51722
ERR1415130,63234
ERR1888154,133824
SRR2834978,75094
SRR14923969,179152
ERR4973559,46290
SRR8787801,65540
SRR6469851,2
ERR968096,910
ERR1889606,164202
ERR1397012,2438
ERR1857741,33166
SRR6250068,13012
SRR18516715,433028
ERR1374500,13340
ERR1730711,18920
SRR5125768,930462
SRR11427234,401128
SRR9875039,64552
ERR2146884,851188
SRR5084079,183299
SRR10887574,205400
SRR8244111,137980
SRR1872145,33986
SRR12464103,346988
SRR12786066,464294
SRR8788648,614314
ERR582930,634
SRR10126222,23781
SRR1821812,254380
SRR13724985,1693084
SRR7268954,160122
ERR960831,740
ERR1374453,3292
SRR6039688,344159
SRR15910177,221738
SRR10126261,10515
SRR5893061,690593
SRR10990421,746732
SRR11801337,137259
SRR11303306,202
SRR13716598,152210
SRR10862988,437876
SRR11585444,1186746
SRR6468988,64802
SRR8106544,37748
ERR1099465,107682
ERR960590,2988
SRR6469335,108202
SRR6654519,30536
SRR10272861,691906
SRR16298930,6190
SRR3083679,295780
SRR1872159,78378
ERR871492,312
ERR1621437,29454
SRR9850647,11869
SRR15236529,350162
SRR13181533,478956
ERR1124728,442408
ERR1889575,52766
SRR6250282,92142
SRR11302941,130
SRR578914,1324
SRR5341521,112067
ERR1108191,113704
ERR657593,101506
SRR4242439,179038
SRR5441897,864810
ERR780096,94244
SRR7882017,314688
SRR6176664,89782
ERR1124696,250346
SRR14217684,96722
ERR1888059,28754
SRR12661590,107732
SRR6469116,110384
ERR1124625,350370
SRR15831101,238198
SRR10863023,378528
SRR8526605,109880
SRR11293494,1115276
ERR968067,272
SRR13450062,93980
ERR1858080,26892
SRR11040643,207708
SRR6654893,11979
ERR960402,1674
ERR1252041,15248
SRR12661612,117517
SRR9198672,10994
ERR5005140,617954
ERR1620494,292978
SRR17282599,343609
SRR11869102,45178
ERR871368,204
SRR12193586,299778
ERR999297,94
ERR689822,68512
SRR13979044,99745
SRR1821843,319695
DRR162471,59378
SRR14428560,104190
ERR1099529,125400
ERR2723934,22670
ERR738270,97612
SRR10366887,376280
SRR10753231,13736
SRR16298998,24234
SRR6908614,27428
SRR11302395,100
ERR1374412,4210
SRR18837597,298786
SRR6469154,1061052
SRR6654874,13128
SRR1872185,36
ERR7131130,278484
ERR1414873,35570
ERR1889822,114730
ERR959238,2892
ERR1373670,61434
ERR3446754,66924
SRR9906820,250094
ERR1475556,36528
ERR998179,53938
SRR7905401,100612
SRR13979075,1850628
ERR1475511,39700
SRR17219937,9784
SRR11302549,90
SRR6469078,87330
ERR1889581,25756
ERR517866,83608
SRR12661820,93718
SRR10010395,76024
SRR9674234,115058
ERR830341,217834
ERR1415149,39226
SRR1872062,28732
SRR5810696,1262
SRR11214402,312049
SRR19638157,1208194
ERR10034111,522244
SRR15600953,100788
SRR9198714,20787
SRR1555596,4928
ERR998409,112
SRR6468740,29452
SRR13646772,358040
SRR1062309,20771
ERR1621459,54170
SRR9198854,10963
SRR6469557,149362
SRR12356856,318246
SRR12654002,314583
ERR517917,81446
SRR12197605,277650
ERR718607,92
SRR10126009,21976
SRR22747858,242104
SRR13360750,234104
SRR14233941,277070
SRR2180296,355091
ERR1216715,105082
ERR1414930,45786
SRR7089631,514722
SRR15813428,243405
ERR2304207,364628
DRR032739,231012
ERR2723297,181004
SRR9849268,543044
ERR999486,38546
ERR871453,278
ERR1889221,38222
ERR1888085,43386
ERR998428,39942
ERR697895,49750
ERR1757577,24710
SRR7662149,11298
ERR960357,1512
DRR162555,53900
ERR659945,147756
SRR18352693,15148
SRR11302598,267
ERR1889749,196920
SRR9077088,225278
SRR13979095,1420689
SRR3139107,763804
SRR5947670,69992
ERR667558,40420
SRR18192296,144842
SRR15691868,34982
ERR958939,28128
ERR926032,1948
ERR1216312,158584
ERR871379,130
SRR3231262,1999542
SRR13374846,226776
ERR1396912,152910
SRR1872590,62528
ERR2146905,1053696
ERR962965,188
ERR960654,10256
ERR517982,129604
SRR6908365,265692
SRR6411468,731946
SRR10344680,115661
ERR1122823,90386
SRR3381829,434868
ERR999295,140
ERR853727,47880
SRR7419832,8030
ERR1099542,173582
SRR7749223,13964
SRR7749232,14380
SRR6890868,30120
ERR2146925,303624
ERR1414875,16908
SRR5809465,95216
SRR6374789,636778
ERR1122722,108556
ERR667636,55906
SRR1062742,121703
SRR12774417,420033
SRR13970398,454756
ERR1621669,67876
ERR962959,35386
SRR14213384,70664
ERR1857612,31496
SRR12493013,112296
SRR6469533,110134
SRR6654319,12351
SRR7268886,101876
ERR1889496,190900
ERR517983,116696
SRR10753213,35476
ERR1416067,27898
SRR12194870,220552
ERR2723449,110866
SRR15663236,210946
ERR3842002,446506
ERR1414898,74128
SRR7883085,29740
SRR7886623,812256
SRR11486780,237982
SRR10070552,6390
SRR6250367,116838
ERR1857816,31524
SRR13297047,585802
SRR20869102,65285
SRR7891997,32806
SRR12614074,684936
ERR2154641,191352
ERR1821567,21178
ERR1373570,16152
SRR17604931,161997
SRR10151888,57260
SRR7886632,1233017
SRR5810720,140
ERR8058374,276444
SRR15626557,478944
SRR2239176,172882
SRR8106488,21586
ERR1757604,29752
ERR1427342,999466
SRR8928784,312230
ERR999300,90
ERR1205413,214436
ERR689867,100340
ERR1889819,110782
SRR6469595,143926
SRR5893089,6692
SRR10070605,108450
SRR1872726,14696
ERR1408774,192
ERR1124819,525992
ERR1124787,394220
ERR1888563,555992
ERR1251982,22622
SRR15813420,130047
SRR11302863,1099
SRR6654468,13024
SRR13238442,764392
SRR21675905,214256
ERR853460,59430
SRR6469530,237426
SRR8441462,291482
SRR11080796,313764
SRR14993681,309527
ERR2723836,310176
SRR12874634,137600
ERR2154764,13262
ERR2723863,27870
SRR8106444,41638
SRR13789076,834610
SRR7444113,570818
ERR1888072,340672
ERR1107873,208392
SRR9622312,109753
ERR959571,5706
SRR8883710,207366
ERR1203534,195108
ERR1407617,420
SRR11303375,126
SRR15927820,100634
ERR1821793,24452
ERR1821557,23068
SRR6908693,338444
SRR12045000,732920
SRR14993678,341844
ERR1415050,43580
SRR15600957,220756
ERR1620463,387722
SRR6654299,24695
SRR3228709,188139
ERR1821642,21624
ERR1252145,17878
SRR8928833,23080
ERR1252067,16064
ERR667474,30222
ERR1124797,224942
SRR10151783,72452
SRR6250363,135798
ERR1888243,35038
SRR12708450,507550
SRR11302487,194
SRR4242435,146630
SRR17267992,256550
ERR959874,970
SRR10127661,227098
ERR1888371,535524
SRR8457162,543556
SRR17691940,142253
ERR871593,105728
SRR17709724,129176
SRR19364711,1026398
ERR1821685,23812
ERR1857849,38972
SRR6655159,18753
ERR1857865,1970
SRR10070836,549904
ERR1124562,536018
SRR6908712,453044
SRR12125386,36722
SRR15831111,279390
ERR1216035,131644
SRR12661530,27832
ERR1475693,33456
ERR340671,78202
SRR11302855,88
SRR13015645,322672
SRR6250035,41410
ERR853463,39968
SRR1872282,57864
SRR20083922,288424
SRR22747839,232734
SRR6652888,1157638
ERR1374231,6802
SRR7419879,28520
SRR5099113,468973
